Wvlgth (nm)	Absorption Coefficient (1/cm)
1392.0	2.12E-07
1393.0	2.03E-07
1394.0	1.94E-07
1395.0	1.85E-07
1396.0	1.76E-07
1397.0	1.67E-07
1398.0	1.58E-07
1399.0	1.49E-07
1400.0	1.40E-07
1401.0	1.35E-07
1402.0	1.29E-07
1403.0	1.24E-07
1404.0	1.18E-07
1405.0	1.13E-07
1406.0	1.07E-07
1407.0	1.02E-07
1408.0	9.60E-08
1409.0	9.05E-08
1410.0	8.50E-08
1411.0	8.15E-08
1412.0	7.80E-08
1413.0	7.45E-08
1414.0	7.10E-08
1415.0	6.75E-08
1416.0	6.40E-08
1417.0	6.05E-08
1418.0	5.70E-08
1419.0	5.35E-08
1420.0	5.00E-08
1421.0	4.75E-08
1422.0	4.50E-08
1423.0	4.25E-08
1424.0	4.00E-08
1425.0	3.75E-08
1426.0	3.50E-08
1427.0	3.25E-08
1428.0	3.00E-08
1429.0	2.75E-08
1430.0	2.50E-08
1431.0	2.43E-08
1432.0	2.36E-08
1433.0	2.29E-08
1434.0	2.22E-08
1435.0	2.15E-08
1436.0	2.08E-08
1437.0	2.01E-08
1438.0	1.94E-08
1439.0	1.87E-08
1440.0	1.80E-08
1441.0	1.74E-08
1442.0	1.68E-08
1443.0	1.62E-08
1444.0	1.56E-08
1445.0	1.50E-08
1446.0	1.44E-08
1447.0	1.38E-08
1448.0	1.32E-08
1449.0	1.26E-08
1450.0	1.20E-08
1451.0	1.20E-08
1452.0	1.20E-08
1453.0	1.20E-08
1454.0	1.20E-08
1455.0	1.20E-08
1456.0	1.20E-08
1457.0	1.20E-08
1458.0	1.20E-08
1459.0	1.20E-08
1460.0	1.20E-08
1461.0	1.20E-08
1462.0	1.20E-08
1463.0	1.20E-08
1464.0	1.20E-08
1465.0	1.20E-08
1466.0	1.20E-08
1467.0	1.20E-08
1468.0	1.20E-08
1469.0	1.20E-08
1470.0	1.20E-08
1471.0	1.20E-08
1472.0	1.20E-08
1473.0	1.20E-08
1474.0	1.20E-08
1475.0	1.20E-08
1476.0	1.20E-08
1477.0	1.20E-08
1478.0	1.20E-08
1479.0	1.20E-08
1480.0	1.20E-08
1481.0	1.20E-08
1482.0	1.20E-08
1483.0	1.20E-08
1484.0	1.20E-08
1485.0	1.20E-08
1486.0	1.20E-08
1487.0	1.20E-08
1488.0	1.20E-08
1489.0	1.20E-08
1490.0	1.20E-08
1491.0	1.20E-08
1492.0	1.20E-08
1493.0	1.20E-08
1494.0	1.20E-08
1495.0	1.20E-08
1496.0	1.20E-08
1497.0	1.20E-08
1498.0	1.20E-08
1499.0	1.20E-08
1500.0	1.20E-08
1501.0	1.20E-08
1502.0	1.20E-08
1503.0	1.20E-08
1504.0	1.20E-08
1505.0	1.20E-08
1506.0	1.20E-08
1507.0	1.20E-08
1508.0	1.20E-08
1509.0	1.20E-08
1510.0	1.20E-08
1511.0	1.20E-08
1512.0	1.20E-08
1513.0	1.20E-08
1514.0	1.20E-08
1515.0	1.20E-08
1516.0	1.20E-08
1517.0	1.20E-08
1518.0	1.20E-08
1519.0	1.20E-08
1520.0	1.20E-08
1521.0	1.20E-08
1522.0	1.20E-08
1523.0	1.20E-08
1524.0	1.20E-08
1525.0	1.20E-08
1526.0	1.20E-08
1527.0	1.20E-08
1528.0	1.20E-08
1529.0	1.20E-08
1530.0	1.20E-08
1531.0	1.20E-08
1532.0	1.20E-08
1533.0	1.20E-08
1534.0	1.20E-08
1535.0	1.20E-08
1536.0	1.20E-08
1537.0	1.20E-08
1538.0	1.20E-08
1539.0	1.20E-08
1540.0	1.20E-08
1541.0	1.20E-08
1542.0	1.20E-08
1543.0	1.20E-08
1544.0	1.20E-08
1545.0	1.20E-08
1546.0	1.20E-08
1547.0	1.20E-08
1548.0	1.20E-08
1549.0	1.20E-08
1550.0	1.20E-08
1551.0	1.20E-08
1552.0	1.20E-08
1553.0	1.20E-08
1554.0	1.20E-08
1555.0	1.20E-08
1556.0	1.20E-08
1557.0	1.20E-08
1558.0	1.20E-08
1559.0	1.20E-08
1560.0	1.20E-08
1561.0	1.20E-08
1562.0	1.20E-08
1563.0	1.20E-08
1564.0	1.20E-08
1565.0	1.20E-08
1566.0	1.20E-08
1567.0	1.20E-08
1568.0	1.20E-08
1569.0	1.20E-08
1570.0	1.20E-08
1571.0	1.20E-08
1572.0	1.20E-08
1573.0	1.20E-08
1574.0	1.20E-08
1575.0	1.20E-08
1576.0	1.20E-08
1577.0	1.20E-08
1578.0	1.20E-08
1579.0	1.20E-08
1580.0	1.20E-08
1581.0	1.20E-08
1582.0	1.20E-08
1583.0	1.20E-08
1584.0	1.20E-08
1585.0	1.20E-08
1586.0	1.20E-08
1587.0	1.20E-08
1588.0	1.20E-08
1589.0	1.20E-08
1590.0	1.20E-08
1591.0	1.20E-08
1592.0	1.20E-08
1593.0	1.20E-08
1594.0	1.20E-08
1595.0	1.20E-08
1596.0	1.20E-08
1597.0	1.20E-08
1598.0	1.20E-08
1599.0	1.20E-08
1600.0	1.20E-08
1601.0	1.20E-08
1602.0	1.20E-08
1603.0	1.20E-08
1604.0	1.20E-08
1605.0	1.20E-08
1606.0	1.20E-08
1607.0	1.20E-08
1608.0	1.20E-08
1609.0	1.20E-08
1610.0	1.20E-08
1611.0	1.20E-08
1612.0	1.20E-08
1613.0	1.20E-08
1614.0	1.20E-08
1615.0	1.20E-08
1616.0	1.20E-08
1617.0	1.20E-08
1618.0	1.20E-08
1619.0	1.20E-08
1620.0	1.20E-08
1621.0	1.20E-08
1622.0	1.20E-08
1623.0	1.20E-08
1624.0	1.20E-08
1625.0	1.20E-08
1626.0	1.20E-08
1627.0	1.20E-08
1628.0	1.20E-08
1629.0	1.20E-08
1630.0	1.20E-08
1631.0	1.20E-08
1632.0	1.20E-08
1633.0	1.20E-08
1634.0	1.20E-08
1635.0	1.20E-08
1636.0	1.20E-08
1637.0	1.20E-08
1638.0	1.20E-08
1639.0	1.20E-08
1640.0	1.20E-08
1641.0	1.20E-08
1642.0	1.20E-08
1643.0	1.20E-08
1644.0	1.20E-08
1645.0	1.20E-08
1646.0	1.20E-08
1647.0	1.20E-08
1648.0	1.20E-08
1649.0	1.20E-08
1650.0	1.20E-08
1651.0	1.20E-08
1652.0	1.20E-08
1653.0	1.20E-08
1654.0	1.20E-08
1655.0	1.20E-08
1656.0	1.20E-08
1657.0	1.20E-08
1658.0	1.20E-08
1659.0	1.20E-08
1660.0	1.20E-08
1661.0	1.20E-08
1662.0	1.20E-08
1663.0	1.20E-08
1664.0	1.20E-08
1665.0	1.20E-08
1666.0	1.20E-08
1667.0	1.20E-08
1668.0	1.20E-08
1669.0	1.20E-08
1670.0	1.20E-08
1671.0	1.20E-08
1672.0	1.20E-08
1673.0	1.20E-08
1674.0	1.20E-08
1675.0	1.20E-08
1676.0	1.20E-08
1677.0	1.20E-08
1678.0	1.20E-08
1679.0	1.20E-08
1680.0	1.20E-08
1681.0	1.20E-08
1682.0	1.20E-08
1683.0	1.20E-08
1684.0	1.20E-08
1685.0	1.20E-08
1686.0	1.20E-08
1687.0	1.20E-08
1688.0	1.20E-08
1689.0	1.20E-08
1690.0	1.20E-08
1691.0	1.20E-08
1692.0	1.20E-08
1693.0	1.20E-08
1694.0	1.20E-08
1695.0	1.20E-08
1696.0	1.20E-08
1697.0	1.20E-08
1698.0	1.20E-08
1699.0	1.20E-08
1700.0	1.20E-08
1702.0	1.20E-08
1705.0	1.20E-08
1710.0	1.20E-08
1715.0	1.20E-08
1720.0	1.20E-08
1725.0	1.20E-08
1730.0	1.20E-08
1735.0	1.20E-08
1740.0	1.20E-08
1745.0	1.20E-08
1750.0	1.20E-08
1755.0	1.20E-08
1760.0	1.20E-08
1765.0	1.20E-08
1770.0	1.20E-08
1775.0	1.20E-08
1780.0	1.20E-08
1785.0	1.20E-08
1790.0	1.20E-08
1795.0	1.20E-08
1800.0	1.20E-08
1805.0	1.20E-08
1810.0	1.20E-08
1815.0	1.20E-08
1820.0	1.20E-08
1825.0	1.20E-08
1830.0	1.20E-08
1835.0	1.20E-08
1840.0	1.20E-08
1845.0	1.20E-08
1850.0	1.20E-08
1855.0	1.20E-08
1860.0	1.20E-08
1865.0	1.20E-08
1870.0	1.20E-08
1875.0	1.20E-08
1880.0	1.20E-08
1885.0	1.20E-08
1890.0	1.20E-08
1895.0	1.20E-08
1900.0	1.20E-08
1905.0	1.20E-08
1910.0	1.20E-08
1915.0	1.20E-08
1920.0	1.20E-08
1925.0	1.20E-08
1930.0	1.20E-08
1935.0	1.20E-08
1940.0	1.20E-08
1945.0	1.20E-08
1950.0	1.20E-08
1955.0	1.20E-08
1960.0	1.20E-08
1965.0	1.20E-08
1970.0	1.20E-08
1975.0	1.20E-08
1980.0	1.20E-08
1985.0	1.20E-08
1990.0	1.20E-08
1995.0	1.20E-08
2000.0	1.20E-08
2005.0	1.20E-08
2010.0	1.20E-08
2015.0	1.20E-08
2020.0	1.20E-08
2025.0	1.20E-08
2030.0	1.20E-08
2035.0	1.20E-08
2040.0	1.20E-08
2045.0	1.20E-08
2050.0	1.20E-08
2055.0	1.20E-08
2060.0	1.20E-08
2065.0	1.20E-08
2070.0	1.20E-08
2075.0	1.20E-08
2080.0	1.20E-08
2085.0	1.20E-08
2090.0	1.20E-08
2095.0	1.20E-08
2100.0	1.20E-08
2105.0	1.20E-08
2110.0	1.20E-08
2115.0	1.20E-08
2120.0	1.20E-08
2125.0	1.20E-08
2130.0	1.20E-08
2135.0	1.20E-08
2140.0	1.20E-08
2145.0	1.20E-08
2150.0	1.20E-08
2155.0	1.20E-08
2160.0	1.20E-08
2165.0	1.20E-08
2170.0	1.20E-08
2175.0	1.20E-08
2180.0	1.20E-08
2185.0	1.20E-08
2190.0	1.20E-08
2195.0	1.20E-08
2200.0	1.20E-08
2205.0	1.20E-08
2210.0	1.20E-08
2215.0	1.20E-08
2220.0	1.20E-08
2225.0	1.20E-08
2230.0	1.20E-08
2235.0	1.20E-08
2240.0	1.20E-08
2245.0	1.20E-08
2250.0	1.20E-08
2255.0	1.20E-08
2260.0	1.20E-08
2265.0	1.20E-08
2270.0	1.20E-08
2275.0	1.20E-08
2280.0	1.20E-08
2285.0	1.20E-08
2290.0	1.20E-08
2295.0	1.20E-08
2300.0	1.20E-08
2305.0	1.20E-08
2310.0	1.20E-08
2315.0	1.20E-08
2320.0	1.20E-08
2325.0	1.20E-08
2330.0	1.20E-08
2335.0	1.20E-08
2340.0	1.20E-08
2345.0	1.20E-08
2350.0	1.20E-08
2355.0	1.20E-08
2360.0	1.20E-08
2365.0	1.20E-08
2370.0	1.20E-08
2375.0	1.20E-08
2380.0	1.20E-08
2385.0	1.20E-08
2390.0	1.20E-08
2395.0	1.20E-08
2400.0	1.20E-08
2405.0	1.20E-08
2410.0	1.20E-08
2415.0	1.20E-08
2420.0	1.20E-08
2425.0	1.20E-08
2430.0	1.20E-08
2435.0	1.20E-08
2440.0	1.20E-08
2445.0	1.20E-08
2450.0	1.20E-08
2455.0	1.20E-08
2460.0	1.20E-08
2465.0	1.20E-08
2470.0	1.20E-08
2475.0	1.20E-08
2480.0	1.20E-08
2485.0	1.20E-08
2490.0	1.20E-08
2495.0	1.20E-08
2500.0	1.20E-08
2505.0	1.20E-08
2510.0	1.20E-08
2515.0	1.20E-08
2520.0	1.20E-08
2525.0	1.20E-08
2530.0	1.20E-08
2535.0	1.20E-08
2540.0	1.20E-08
2545.0	1.20E-08
2550.0	1.20E-08
2555.0	1.20E-08
2560.0	1.20E-08
2565.0	1.20E-08
2570.0	1.20E-08
2575.0	1.20E-08
2580.0	1.20E-08
2585.0	1.20E-08
2590.0	1.20E-08
2595.0	1.20E-08
2600.0	1.20E-08
2605.0	1.20E-08
2610.0	1.20E-08
2615.0	1.20E-08
2620.0	1.20E-08
2625.0	1.20E-08
2630.0	1.20E-08
2635.0	1.20E-08
2640.0	1.20E-08
2645.0	1.20E-08
2650.0	1.20E-08
2655.0	1.20E-08
2660.0	1.20E-08
2665.0	1.20E-08
2670.0	1.20E-08
2675.0	1.20E-08
2680.0	1.20E-08
2685.0	1.20E-08
2690.0	1.20E-08
2695.0	1.20E-08
2700.0	1.20E-08
2705.0	1.20E-08
2710.0	1.20E-08
2715.0	1.20E-08
2720.0	1.20E-08
2725.0	1.20E-08
2730.0	1.20E-08
2735.0	1.20E-08
2740.0	1.20E-08
2745.0	1.20E-08
2750.0	1.20E-08
2755.0	1.20E-08
2760.0	1.20E-08
2765.0	1.20E-08
2770.0	1.20E-08
2775.0	1.20E-08
2780.0	1.20E-08
2785.0	1.20E-08
2790.0	1.20E-08
2795.0	1.20E-08
2800.0	1.20E-08
2805.0	1.20E-08
2810.0	1.20E-08
2815.0	1.20E-08
2820.0	1.20E-08
2825.0	1.20E-08
2830.0	1.20E-08
2835.0	1.20E-08
2840.0	1.20E-08
2845.0	1.20E-08
2850.0	1.20E-08
2855.0	1.20E-08
2860.0	1.20E-08
2865.0	1.20E-08
2870.0	1.20E-08
2875.0	1.20E-08
2880.0	1.20E-08
2885.0	1.20E-08
2890.0	1.20E-08
2895.0	1.20E-08
2900.0	1.20E-08
2905.0	1.20E-08
2910.0	1.20E-08
2915.0	1.20E-08
2920.0	1.20E-08
2925.0	1.20E-08
2930.0	1.20E-08
2935.0	1.20E-08
2940.0	1.20E-08
2945.0	1.20E-08
2950.0	1.20E-08
2955.0	1.20E-08
2960.0	1.20E-08
2965.0	1.20E-08
2970.0	1.20E-08
2975.0	1.20E-08
2980.0	1.20E-08
2985.0	1.20E-08
2990.0	1.20E-08
2995.0	1.20E-08
3000.0	1.20E-08
3005.0	1.20E-08
3010.0	1.20E-08
3015.0	1.20E-08
3020.0	1.20E-08
3025.0	1.20E-08
3030.0	1.20E-08
3035.0	1.20E-08
3040.0	1.20E-08
3045.0	1.20E-08
3050.0	1.20E-08
3055.0	1.20E-08
3060.0	1.20E-08
3065.0	1.20E-08
3070.0	1.20E-08
3075.0	1.20E-08
3080.0	1.20E-08
3085.0	1.20E-08
3090.0	1.20E-08
3095.0	1.20E-08
3100.0	1.20E-08
3105.0	1.20E-08
3110.0	1.20E-08
3115.0	1.20E-08
3120.0	1.20E-08
3125.0	1.20E-08
3130.0	1.20E-08
3135.0	1.20E-08
3140.0	1.20E-08
3145.0	1.20E-08
3150.0	1.20E-08
3155.0	1.20E-08
3160.0	1.20E-08
3165.0	1.20E-08
3170.0	1.20E-08
3175.0	1.20E-08
3180.0	1.20E-08
3185.0	1.20E-08
3190.0	1.20E-08
3195.0	1.20E-08
3200.0	1.20E-08
3205.0	1.20E-08
3210.0	1.20E-08
3215.0	1.20E-08
3220.0	1.20E-08
3225.0	1.20E-08
3230.0	1.20E-08
3235.0	1.20E-08
3240.0	1.20E-08
3245.0	1.20E-08
3250.0	1.20E-08
3255.0	1.20E-08
3260.0	1.20E-08
3265.0	1.20E-08
3270.0	1.20E-08
3275.0	1.20E-08
3280.0	1.20E-08
3285.0	1.20E-08
3290.0	1.20E-08
3295.0	1.20E-08
3300.0	1.20E-08
3305.0	1.20E-08
3310.0	1.20E-08
3315.0	1.20E-08
3320.0	1.20E-08
3325.0	1.20E-08
3330.0	1.20E-08
3335.0	1.20E-08
3340.0	1.20E-08
3345.0	1.20E-08
3350.0	1.20E-08
3355.0	1.20E-08
3360.0	1.20E-08
3365.0	1.20E-08
3370.0	1.20E-08
3375.0	1.20E-08
3380.0	1.20E-08
3385.0	1.20E-08
3390.0	1.20E-08
3395.0	1.20E-08
3400.0	1.20E-08
3405.0	1.20E-08
3410.0	1.20E-08
3415.0	1.20E-08
3420.0	1.20E-08
3425.0	1.20E-08
3430.0	1.20E-08
3435.0	1.20E-08
3440.0	1.20E-08
3445.0	1.20E-08
3450.0	1.20E-08
3455.0	1.20E-08
3460.0	1.20E-08
3465.0	1.20E-08
3470.0	1.20E-08
3475.0	1.20E-08
3480.0	1.20E-08
3485.0	1.20E-08
3490.0	1.20E-08
3495.0	1.20E-08
3500.0	1.20E-08
3505.0	1.20E-08
3510.0	1.20E-08
3515.0	1.20E-08
3520.0	1.20E-08
3525.0	1.20E-08
3530.0	1.20E-08
3535.0	1.20E-08
3540.0	1.20E-08
3545.0	1.20E-08
3550.0	1.20E-08
3555.0	1.20E-08
3560.0	1.20E-08
3565.0	1.20E-08
3570.0	1.20E-08
3575.0	1.20E-08
3580.0	1.20E-08
3585.0	1.20E-08
3590.0	1.20E-08
3595.0	1.20E-08
3600.0	1.20E-08
3605.0	1.20E-08
3610.0	1.20E-08
3615.0	1.20E-08
3620.0	1.20E-08
3625.0	1.20E-08
3630.0	1.20E-08
3635.0	1.20E-08
3640.0	1.20E-08
3645.0	1.20E-08
3650.0	1.20E-08
3655.0	1.20E-08
3660.0	1.20E-08
3665.0	1.20E-08
3670.0	1.20E-08
3675.0	1.20E-08
3680.0	1.20E-08
3685.0	1.20E-08
3690.0	1.20E-08
3695.0	1.20E-08
3700.0	1.20E-08
3705.0	1.20E-08
3710.0	1.20E-08
3715.0	1.20E-08
3720.0	1.20E-08
3725.0	1.20E-08
3730.0	1.20E-08
3735.0	1.20E-08
3740.0	1.20E-08
3745.0	1.20E-08
3750.0	1.20E-08
3755.0	1.20E-08
3760.0	1.20E-08
3765.0	1.20E-08
3770.0	1.20E-08
3775.0	1.20E-08
3780.0	1.20E-08
3785.0	1.20E-08
3790.0	1.20E-08
3795.0	1.20E-08
3800.0	1.20E-08
3805.0	1.20E-08
3810.0	1.20E-08
3815.0	1.20E-08
3820.0	1.20E-08
3825.0	1.20E-08
3830.0	1.20E-08
3835.0	1.20E-08
3840.0	1.20E-08
3845.0	1.20E-08
3850.0	1.20E-08
3855.0	1.20E-08
3860.0	1.20E-08
3865.0	1.20E-08
3870.0	1.20E-08
3875.0	1.20E-08
3880.0	1.20E-08
3885.0	1.20E-08
3890.0	1.20E-08
3895.0	1.20E-08
3900.0	1.20E-08
3905.0	1.20E-08
3910.0	1.20E-08
3915.0	1.20E-08
3920.0	1.20E-08
3925.0	1.20E-08
3930.0	1.20E-08
3935.0	1.20E-08
3940.0	1.20E-08
3945.0	1.20E-08
3950.0	1.20E-08
3955.0	1.20E-08
3960.0	1.20E-08
3965.0	1.20E-08
3970.0	1.20E-08
3975.0	1.20E-08
3980.0	1.20E-08
3985.0	1.20E-08
3990.0	1.20E-08
3995.0	1.20E-08
4000.0	1.20E-08

